table_name,table_source,criterion,group,spell_name,spell_source
Spells [Name],GWP,Name,All,Incendiary Arrows,GWP
Spells [Name],GWP,Name,All,Incendiary Bonds,GWP
Spells [Name],GWP,Name,All,Ineptitude,GWP
Spells [Name],GWP,Name,All,Infuse Condition,GWP
Spells [Name],GWP,Name,All,Insidious Parasite,GWP
Spells [Name],GWP,Name,All,Inspired Enchantment/Revealed Enchantment,GWP
Spells [Name],GWP,Name,All,Inspired Hex/Revealed Hex,GWP
Spells [Name],GWP,Name,All,Iron Mist,GWP
Spells [Name],GWP,Name,All,Keystone Signet,GWP
Spells [Name],GWP,Name,All,Kinetic Armor,GWP
Spells [Name],GWP,Name,All,Lava Font,GWP
Spells [Name],GWP,Name,All,Life Attunement,GWP
Spells [Name],GWP,Name,All,Life Barrier,GWP
Spells [Name],GWP,Name,All,Life Transfer,GWP
Spells [Name],GWP,Name,All,Light of Dwayna,GWP
Spells [Name],GWP,Name,All,Lightning Javelin,GWP
Spells [Name],GWP,Name,All,Live Vicariously,GWP
Spells [Name],GWP,Name,All,Magnetic Aura,GWP
Spells [Name],GWP,Name,All,Malaise,GWP
Spells [Name],GWP,Name,All,Malign Intervention,GWP
Spells [Name],GWP,Name,All,Mantra of Concentration,GWP
Spells [Name],GWP,Name,All,Mantra of Recall,GWP
Spells [Name],GWP,Name,All,Mantra of Signets,GWP
Spells [Name],GWP,Name,All,Mark of Protection,GWP
Spells [Name],GWP,Name,All,Mark of Rodgort,GWP
Spells [Name],GWP,Name,All,Mark of Subversion,GWP
Spells [Name],GWP,Name,All,Marksman's Wager,GWP
Spells [Name],GWP,Name,All,Melandru's Arrows,GWP
Spells [Name],GWP,Name,All,Melandru's Assault,GWP
Spells [Name],GWP,Name,All,Melandru's Resilience,GWP
Spells [Name],GWP,Name,All,Mend Condition,GWP
Spells [Name],GWP,Name,All,Meteor Shower,GWP
Spells [Name],GWP,Name,All,Migraine,GWP
Spells [Name],GWP,Name,All,Mind Shock,GWP
Spells [Name],GWP,Name,All,Mist Form,GWP
Spells [Name],GWP,Name,All,Muddy Terrain,GWP
Spells [Name],GWP,Name,All,Necrotic Traversal,GWP
Spells [Name],GWP,Name,All,Oath Shot,GWP
Spells [Name],GWP,Name,All,Offering of Blood,GWP
Spells [Name],GWP,Name,All,Order of the Vampire,GWP
Spells [Name],GWP,Name,All,Otyugh's Cry,GWP
Spells [Name],GWP,Name,All,Pacifism,GWP
Spells [Name],GWP,Name,All,Panic,GWP
Spells [Name],GWP,Name,All,Peace and Harmony,GWP
Spells [Name],GWP,Name,All,Penetrating Attack/Sundering Attack,GWP
Spells [Name],GWP,Name,All,Penetrating Blow/Penetrating Chop,GWP
Spells [Name],GWP,Name,All,Phantom Pain,GWP
Spells [Name],GWP,Name,All,Phoenix,GWP
Spells [Name],GWP,Name,All,Physical Resistance,GWP
Spells [Name],GWP,Name,All,Plague Sending,GWP
Spells [Name],GWP,Name,All,Point Blank Shot/Zojun's Shot,GWP
Spells [Name],GWP,Name,All,Poison Arrow,GWP
Spells [Name],GWP,Name,All,Power Block,GWP
Spells [Name],GWP,Name,All,Power Leak,GWP
Spells [Name],GWP,Name,All,Practiced Stance,GWP
Spells [Name],GWP,Name,All,Predator's Pounce,GWP
Spells [Name],GWP,Name,All,Predatory Season,GWP
Spells [Name],GWP,Name,All,Price of Failure,GWP
Spells [Name],GWP,Name,All,Protective Bond,GWP
Spells [Name],GWP,Name,All,Protector's Strike,GWP
Spells [Name],GWP,Name,All,Punishing Shot,GWP
Spells [Name],GWP,Name,All,Pure Strike/Jaizhenju Strike,GWP
Spells [Name],GWP,Name,All,Restore Condition,GWP
Spells [Name],GWP,Name,All,Restore Life,GWP
Spells [Name],GWP,Name,All,Revive Animal,GWP
Spells [Name],GWP,Name,All,Riposte,GWP
Spells [Name],GWP,Name,All,Rodgort's Invocation,GWP
Spells [Name],GWP,Name,All,Rush,GWP
Spells [Name],GWP,Name,All,Scourge Sacrifice,GWP
Spells [Name],GWP,Name,All,Searing Heat,GWP
Spells [Name],GWP,Name,All,Serpent's Quickness,GWP
Spells [Name],GWP,Name,All,Shadow of Fear,GWP
Spells [Name],GWP,Name,All,Shadow Strike/Lifebane Strike,GWP
Spells [Name],GWP,Name,All,Shame,GWP
Spells [Name],GWP,Name,All,Shard Storm,GWP
Spells [Name],GWP,Name,All,Shatter Delusions,GWP
Spells [Name],GWP,Name,All,Shield of Deflection,GWP
Spells [Name],GWP,Name,All,Shield of Judgment,GWP
Spells [Name],GWP,Name,All,Shield Stance,GWP
Spells [Name],GWP,Name,All,Shock,GWP
Spells [Name],GWP,Name,All,Signet of Midnight,GWP
Spells [Name],GWP,Name,All,Signet of Weariness,GWP
Spells [Name],GWP,Name,All,Skull Crack,GWP
Spells [Name],GWP,Name,All,Smite,GWP
Spells [Name],GWP,Name,All,Soul Barbs,GWP
Spells [Name],GWP,Name,All,Soul Leech,GWP
Spells [Name],GWP,Name,All,Spinal Shivers/Shivers of Dread,GWP
Spells [Name],GWP,Name,All,Spirit of Failure,GWP
Spells [Name],GWP,Name,All,Spiteful Spirit,GWP
Spells [Name],GWP,Name,All,Succor,GWP
Spells [Name],GWP,Name,All,Swirling Aura,GWP
Spells [Name],GWP,Name,All,Symbiosis,GWP
Spells [Name],GWP,Name,All,Symbiotic Bond,GWP
Spells [Name],GWP,Name,All,Symbol of Wrath/Kirin's Wrath,GWP
Spells [Name],GWP,Name,All,Sympathetic Visage/Ancestor's Visage,GWP
Spells [Name],GWP,Name,All,Thunderclap (Guild Wars),GWP
Spells [Name],GWP,Name,All,Tiger's Fury/Bestial Fury,GWP
Spells [Name],GWP,Name,All,Touch of Agony/Wallow's Bite,GWP
Spells [Name],GWP,Name,All,Unyielding Aura,GWP
Spells [Name],GWP,Name,All,Vampiric Touch/Vampiric Bite,GWP
Spells [Name],GWP,Name,All,Vengeance,GWP
Spells [Name],GWP,Name,All,Verata's Aura,GWP
Spells [Name],GWP,Name,All,Verata's Gaze,GWP
Spells [Name],GWP,Name,All,Verata's Sacrifice,GWP
Spells [Name],GWP,Name,All,Vigorous Spirit,GWP
Spells [Name],GWP,Name,All,Virulence,GWP
Spells [Name],GWP,Name,All,Vital Blessing,GWP
Spells [Name],GWP,Name,All,Ward Against Elements,GWP
Spells [Name],GWP,Name,All,Ward Against Harm,GWP
Spells [Name],GWP,Name,All,Warrior's Endurance,GWP
Spells [Name],GWP,Name,All,Wary Stance,GWP
Spells [Name],GWP,Name,All,Wastrel's Worry,GWP
Spells [Name],GWP,Name,All,Watchful Spirit,GWP
Spells [Name],GWP,Name,All,Water Trident,GWP
Spells [Name],GWP,Name,All,Well of Power,GWP
Spells [Name],GWP,Name,All,Well of Suffering,GWP
Spells [Name],GWP,Name,All,Whirlwind (Guild Wars),GWP
Spells [Name],GWP,Name,All,Windborne Speed,GWP
Spells [Name],GWP,Name,All,Winter,GWP
Spells [Name],GWP,Name,All,Wither,GWP
Spells [Background: Adrenaline],GWP,Background,Adrenaline,"""Fear Me!""",GWP
Spells [Background: Adrenaline],GWP,Background,Adrenaline,Axe Twist,GWP
Spells [Background: Adrenaline],GWP,Background,Adrenaline,Backbreaker,GWP
Spells [Background: Adrenaline],GWP,Background,Adrenaline,Bonetti's Defense,GWP
Spells [Background: Adrenaline],GWP,Background,Adrenaline,Deflect Arrows,GWP
Spells [Background: Adrenaline],GWP,Background,Adrenaline,Defy Pain,GWP
Spells [Background: Adrenaline],GWP,Background,Adrenaline,Earth Shaker,GWP
Spells [Background: Adrenaline],GWP,Background,Adrenaline,Eviscerate,GWP
Spells [Background: Adrenaline],GWP,Background,Adrenaline,Galrath Slash/Silverwing Slash,GWP
Spells [Background: Adrenaline],GWP,Background,Adrenaline,Penetrating Blow/Penetrating Chop,GWP
Spells [Background: Adrenaline],GWP,Background,Adrenaline,Riposte,GWP
Spells [Background: Adrenaline],GWP,Background,Adrenaline,Rush,GWP
Spells [Background: Adrenaline],GWP,Background,Adrenaline,Skull Crack,GWP
Spells [Background: Air Magic],GWP,Background,Air Magic,Chain Lightning (Guild Wars),GWP
Spells [Background: Air Magic],GWP,Background,Air Magic,Glimmering Mark,GWP
Spells [Background: Air Magic],GWP,Background,Air Magic,Iron Mist,GWP
Spells [Background: Air Magic],GWP,Background,Air Magic,Lightning Javelin,GWP
Spells [Background: Air Magic],GWP,Background,Air Magic,Mind Shock,GWP
Spells [Background: Air Magic],GWP,Background,Air Magic,Shock,GWP
Spells [Background: Air Magic],GWP,Background,Air Magic,Thunderclap (Guild Wars),GWP
Spells [Background: Air Magic],GWP,Background,Air Magic,Whirlwind (Guild Wars),GWP
Spells [Background: Air Magic],GWP,Background,Air Magic,Windborne Speed,GWP
Spells [Background: Armor Penetration],GWP,Background,Armor Penetration,Chain Lightning (Guild Wars),GWP
Spells [Background: Armor Penetration],GWP,Background,Armor Penetration,Glimmering Mark,GWP
Spells [Background: Armor Penetration],GWP,Background,Armor Penetration,Lightning Javelin,GWP
Spells [Background: Armor Penetration],GWP,Background,Armor Penetration,Mind Shock,GWP
Spells [Background: Armor Penetration],GWP,Background,Armor Penetration,Penetrating Attack/Sundering Attack,GWP
Spells [Background: Armor Penetration],GWP,Background,Armor Penetration,Penetrating Blow/Penetrating Chop,GWP
Spells [Background: Armor Penetration],GWP,Background,Armor Penetration,Shock,GWP
Spells [Background: Armor Penetration],GWP,Background,Armor Penetration,Thunderclap (Guild Wars),GWP
Spells [Background: Ascalon],GWP,Background,Ascalon,Chaos Storm,GWP
Spells [Background: Ascalon],GWP,Background,Ascalon,Distortion,GWP
Spells [Background: Ascalon],GWP,Background,Ascalon,Dodge/Zojun's Haste,GWP
Spells [Background: Ascalon],GWP,Background,Ascalon,Eruption,GWP
Spells [Background: Ascalon],GWP,Background,Ascalon,Feral Lunge,GWP
Spells [Background: Ascalon],GWP,Background,Ascalon,Frozen Burst,GWP
Spells [Background: Ascalon],GWP,Background,Ascalon,Heal Area/Karei's Healing Circle,GWP
Spells [Background: Ascalon],GWP,Background,Ascalon,Insidious Parasite,GWP
Spells [Background: Ascalon],GWP,Background,Ascalon,Lava Font,GWP
Spells [Background: Ascalon],GWP,Background,Ascalon,Live Vicariously,GWP
Spells [Background: Ascalon],GWP,Background,Ascalon,Magnetic Aura,GWP
Spells [Background: Ascalon],GWP,Background,Ascalon,Penetrating Attack/Sundering Attack,GWP
Spells [Background: Ascalon],GWP,Background,Ascalon,Penetrating Blow/Penetrating Chop,GWP
Spells [Background: Ascalon],GWP,Background,Ascalon,Phantom Pain,GWP
Spells [Background: Ascalon],GWP,Background,Ascalon,Phoenix,GWP
Spells [Background: Ascalon],GWP,Background,Ascalon,Physical Resistance,GWP
Spells [Background: Ascalon],GWP,Background,Ascalon,Power Leak,GWP
Spells [Background: Ascalon],GWP,Background,Ascalon,Predator's Pounce,GWP
Spells [Background: Ascalon],GWP,Background,Ascalon,Restore Life,GWP
Spells [Background: Ascalon],GWP,Background,Ascalon,Shadow of Fear,GWP
Spells [Background: Ascalon],GWP,Background,Ascalon,Shadow Strike/Lifebane Strike,GWP
Spells [Background: Ascalon],GWP,Background,Ascalon,Shard Storm,GWP
Spells [Background: Ascalon],GWP,Background,Ascalon,Smite,GWP
Spells [Background: Ascalon],GWP,Background,Ascalon,Vital Blessing,GWP
Spells [Background: Ascalon],GWP,Background,Ascalon,Ward Against Elements,GWP
Spells [Background: Ascalon],GWP,Background,Ascalon,Wary Stance,GWP
Spells [Background: Axe Mastery],GWP,Background,Axe Mastery,Axe Twist,GWP
Spells [Background: Axe Mastery],GWP,Background,Axe Mastery,Eviscerate,GWP
Spells [Background: Axe Mastery],GWP,Background,Axe Mastery,Penetrating Blow/Penetrating Chop,GWP
Spells [Background: Beast Mastery],GWP,Background,Beast Mastery,Bestial Pounce/Savage Pounce,GWP
Spells [Background: Beast Mastery],GWP,Background,Beast Mastery,Brutal Strike,GWP
Spells [Background: Beast Mastery],GWP,Background,Beast Mastery,Call of Protection,GWP
Spells [Background: Beast Mastery],GWP,Background,Beast Mastery,Edge of Extinction,GWP
Spells [Background: Beast Mastery],GWP,Background,Beast Mastery,Feral Lunge,GWP
Spells [Background: Beast Mastery],GWP,Background,Beast Mastery,Fertile Season,GWP
Spells [Background: Beast Mastery],GWP,Background,Beast Mastery,Melandru's Assault,GWP
Spells [Background: Beast Mastery],GWP,Background,Beast Mastery,Otyugh's Cry,GWP
Spells [Background: Beast Mastery],GWP,Background,Beast Mastery,Predator's Pounce,GWP
Spells [Background: Beast Mastery],GWP,Background,Beast Mastery,Predatory Season,GWP
Spells [Background: Beast Mastery],GWP,Background,Beast Mastery,Revive Animal,GWP
Spells [Background: Beast Mastery],GWP,Background,Beast Mastery,Symbiosis,GWP
Spells [Background: Beast Mastery],GWP,Background,Beast Mastery,Symbiotic Bond,GWP
Spells [Background: Beast Mastery],GWP,Background,Beast Mastery,Tiger's Fury/Bestial Fury,GWP
Spells [Background: Blood Magic],GWP,Background,Blood Magic,Awaken the Blood,GWP
Spells [Background: Blood Magic],GWP,Background,Blood Magic,Blood Reneawl,GWP
Spells [Background: Blood Magic],GWP,Background,Blood Magic,Blood Ritual,GWP
Spells [Background: Blood Magic],GWP,Background,Blood Magic,Dark Fury,GWP
Spells [Background: Blood Magic],GWP,Background,Blood Magic,Life Transfer,GWP
Spells [Background: Blood Magic],GWP,Background,Blood Magic,Mark of Subversion,GWP
Spells [Background: Blood Magic],GWP,Background,Blood Magic,Offering of Blood,GWP
Spells [Background: Blood Magic],GWP,Background,Blood Magic,Order of the Vampire,GWP
Spells [Background: Blood Magic],GWP,Background,Blood Magic,Shadow Strike/Lifebane Strike,GWP
Spells [Background: Blood Magic],GWP,Background,Blood Magic,Soul Leech,GWP
Spells [Background: Blood Magic],GWP,Background,Blood Magic,Vampiric Touch/Vampiric Bite,GWP
Spells [Background: Blood Magic],GWP,Background,Blood Magic,Well of Power,GWP
Spells [Background: Bond],GWP,Background,Bond,Balthazar's Spirit,GWP
Spells [Background: Bond],GWP,Background,Bond,Blessed Aura,GWP
Spells [Background: Bond],GWP,Background,Bond,Essence Bond,GWP
Spells [Background: Bond],GWP,Background,Bond,Life Attunement,GWP
Spells [Background: Bond],GWP,Background,Bond,Life Barrier,GWP
Spells [Background: Bond],GWP,Background,Bond,Live Vicariously,GWP
Spells [Background: Bond],GWP,Background,Bond,Protective Bond,GWP
Spells [Background: Bond],GWP,Background,Bond,Succor,GWP
Spells [Background: Bond],GWP,Background,Bond,Unyielding Aura,GWP
Spells [Background: Bond],GWP,Background,Bond,Vital Blessing,GWP
Spells [Background: Bond],GWP,Background,Bond,Watchful Spirit,GWP
Spells [Background: Companion],GWP,Background,Companion,Bestial Pounce/Savage Pounce,GWP
Spells [Background: Companion],GWP,Background,Companion,Brutal Strike,GWP
Spells [Background: Companion],GWP,Background,Companion,Call of Protection,GWP
Spells [Background: Companion],GWP,Background,Companion,Feral Lunge,GWP
Spells [Background: Companion],GWP,Background,Companion,Melandru's Assault,GWP
Spells [Background: Companion],GWP,Background,Companion,Otyugh's Cry,GWP
Spells [Background: Companion],GWP,Background,Companion,Predator's Pounce,GWP
Spells [Background: Companion],GWP,Background,Companion,Revive Animal,GWP
Spells [Background: Companion],GWP,Background,Companion,Symbiotic Bond,GWP
Spells [Background: Crystal Desert],GWP,Background,Crystal Desert,"""Fear Me!""",GWP
Spells [Background: Crystal Desert],GWP,Background,Crystal Desert,Blessed Aura,GWP
Spells [Background: Crystal Desert],GWP,Background,Crystal Desert,Dust Trap,GWP
Spells [Background: Crystal Desert],GWP,Background,Crystal Desert,Elemental Resistance,GWP
Spells [Background: Crystal Desert],GWP,Background,Crystal Desert,Ether Lord,GWP
Spells [Background: Crystal Desert],GWP,Background,Crystal Desert,Ether Renewal,GWP
Spells [Background: Crystal Desert],GWP,Background,Crystal Desert,Flame Burst,GWP
Spells [Background: Crystal Desert],GWP,Background,Crystal Desert,Gladiator's Defense,GWP
Spells [Background: Crystal Desert],GWP,Background,Crystal Desert,Guilt,GWP
Spells [Background: Crystal Desert],GWP,Background,Crystal Desert,Incendiary Bonds,GWP
Spells [Background: Crystal Desert],GWP,Background,Crystal Desert,Malaise,GWP
Spells [Background: Crystal Desert],GWP,Background,Crystal Desert,Mantra of Recall,GWP
Spells [Background: Crystal Desert],GWP,Background,Crystal Desert,Mark of Protection,GWP
Spells [Background: Crystal Desert],GWP,Background,Crystal Desert,Marksman's Wager,GWP
Spells [Background: Crystal Desert],GWP,Background,Crystal Desert,Melandru's Resilience,GWP
Spells [Background: Crystal Desert],GWP,Background,Crystal Desert,Mend Condition,GWP
Spells [Background: Crystal Desert],GWP,Background,Crystal Desert,Order of the Vampire,GWP
Spells [Background: Crystal Desert],GWP,Background,Crystal Desert,Swirling Aura,GWP
Spells [Background: Crystal Desert],GWP,Background,Crystal Desert,Tiger's Fury/Bestial Fury,GWP
Spells [Background: Crystal Desert],GWP,Background,Crystal Desert,Vengeance,GWP
Spells [Background: Crystal Desert],GWP,Background,Crystal Desert,Warrior's Endurance,GWP
Spells [Background: Crystal Desert],GWP,Background,Crystal Desert,Windborne Speed,GWP
Spells [Background: Curses],GWP,Background,Curses,Desecrate Enchantments/Defile Enchantments,GWP
Spells [Background: Curses],GWP,Background,Curses,Enfeeble,GWP
Spells [Background: Curses],GWP,Background,Curses,Feast of Corruption,GWP
Spells [Background: Curses],GWP,Background,Curses,Insidious Parasite,GWP
Spells [Background: Curses],GWP,Background,Curses,Malaise,GWP
Spells [Background: Curses],GWP,Background,Curses,Plague Sending,GWP
Spells [Background: Curses],GWP,Background,Curses,Price of Failure,GWP
Spells [Background: Curses],GWP,Background,Curses,Shadow of Fear,GWP
Spells [Background: Curses],GWP,Background,Curses,Soul Barbs,GWP
Spells [Background: Curses],GWP,Background,Curses,Spinal Shivers/Shivers of Dread,GWP
Spells [Background: Curses],GWP,Background,Curses,Spiteful Spirit,GWP
Spells [Background: Curses],GWP,Background,Curses,Virulence,GWP
Spells [Background: Curses],GWP,Background,Curses,Wither,GWP
Spells [Background: Death Magic],GWP,Background,Death Magic,Animate Bone Horror,GWP
Spells [Background: Death Magic],GWP,Background,Death Magic,Aura of the Lich,GWP
Spells [Background: Death Magic],GWP,Background,Death Magic,Consume Corpse,GWP
Spells [Background: Death Magic],GWP,Background,Death Magic,Deathly Chill,GWP
Spells [Background: Death Magic],GWP,Background,Death Magic,Infuse Condition,GWP
Spells [Background: Death Magic],GWP,Background,Death Magic,Malign Intervention,GWP
Spells [Background: Death Magic],GWP,Background,Death Magic,Necrotic Traversal,GWP
Spells [Background: Death Magic],GWP,Background,Death Magic,Touch of Agony/Wallow's Bite,GWP
Spells [Background: Death Magic],GWP,Background,Death Magic,Verata's Aura,GWP
Spells [Background: Death Magic],GWP,Background,Death Magic,Verata's Gaze,GWP
Spells [Background: Death Magic],GWP,Background,Death Magic,Verata's Sacrifice,GWP
Spells [Background: Death Magic],GWP,Background,Death Magic,Well of Suffering,GWP
Spells [Background: Divine Favor],GWP,Background,Divine Favor,Blessed Aura,GWP
Spells [Background: Divine Favor],GWP,Background,Divine Favor,Contemplation of Purity,GWP
Spells [Background: Divine Favor],GWP,Background,Divine Favor,Divine Healing/Heaven's Delight,GWP
Spells [Background: Divine Favor],GWP,Background,Divine Favor,Divine Spirit,GWP
Spells [Background: Divine Favor],GWP,Background,Divine Favor,Peace and Harmony,GWP
Spells [Background: Divine Favor],GWP,Background,Divine Favor,Unyielding Aura,GWP
Spells [Background: Divine Favor],GWP,Background,Divine Favor,Watchful Spirit,GWP
Spells [Background: Domination Magic],GWP,Background,Domination Magic,Blackout,GWP
Spells [Background: Domination Magic],GWP,Background,Domination Magic,Chaos Storm,GWP
Spells [Background: Domination Magic],GWP,Background,Domination Magic,Guilt,GWP
Spells [Background: Domination Magic],GWP,Background,Domination Magic,Panic,GWP
Spells [Background: Domination Magic],GWP,Background,Domination Magic,Power Block,GWP
Spells [Background: Domination Magic],GWP,Background,Domination Magic,Power Leak,GWP
Spells [Background: Domination Magic],GWP,Background,Domination Magic,Shame,GWP
Spells [Background: Domination Magic],GWP,Background,Domination Magic,Shatter Delusions,GWP
Spells [Background: Domination Magic],GWP,Background,Domination Magic,Signet of Weariness,GWP
Spells [Background: Domination Magic],GWP,Background,Domination Magic,Wastrel's Worry,GWP
Spells [Background: Earth Magic],GWP,Background,Earth Magic,Crystal Wave,GWP
Spells [Background: Earth Magic],GWP,Background,Earth Magic,Earthquake/Dragon's Stomp,GWP
Spells [Background: Earth Magic],GWP,Background,Earth Magic,Eruption,GWP
Spells [Background: Earth Magic],GWP,Background,Earth Magic,Grasping Earth,GWP
Spells [Background: Earth Magic],GWP,Background,Earth Magic,Kinetic Armor,GWP
Spells [Background: Earth Magic],GWP,Background,Earth Magic,Magnetic Aura,GWP
Spells [Background: Earth Magic],GWP,Background,Earth Magic,Ward Against Elements,GWP
Spells [Background: Elementalist],GWP,Background,Elementalist,Armor of Frost,GWP
Spells [Background: Elementalist],GWP,Background,Elementalist,Armor of Mist,GWP
Spells [Background: Elementalist],GWP,Background,Elementalist,Chain Lightning (Guild Wars),GWP
Spells [Background: Elementalist],GWP,Background,Elementalist,Crystal Wave,GWP
Spells [Background: Elementalist],GWP,Background,Elementalist,Earthquake/Dragon's Stomp,GWP
Spells [Background: Elementalist],GWP,Background,Elementalist,Eruption,GWP
Spells [Background: Elementalist],GWP,Background,Elementalist,Ether Prodigy,GWP
Spells [Background: Elementalist],GWP,Background,Elementalist,Ether Renewal,GWP
Spells [Background: Elementalist],GWP,Background,Elementalist,Flame Burst,GWP
Spells [Background: Elementalist],GWP,Background,Elementalist,Frozen Burst,GWP
Spells [Background: Elementalist],GWP,Background,Elementalist,Glimmering Mark,GWP
Spells [Background: Elementalist],GWP,Background,Elementalist,Glyph of Concentration,GWP
Spells [Background: Elementalist],GWP,Background,Elementalist,Glyph of Energy,GWP
Spells [Background: Elementalist],GWP,Background,Elementalist,Glyph of Renewal,GWP
Spells [Background: Elementalist],GWP,Background,Elementalist,Glyph of Sacrifice,GWP
Spells [Background: Elementalist],GWP,Background,Elementalist,Grasping Earth,GWP
